"","y1","y","x1","x2","a1","a2"
"1","0","1.7734056870089","1.7837277192201","0.457283311471765","A","B"
"2","0","-3.89538542900104","0.119462434583547","0.8943306113022","B","B"
"3","0","-2.68985663484865","0.289105867305283","0.46075275174781","B","B"
"4","0","-2.29848308565573","0.467295811572675","0.252370543770163","B","B"
"5","0","1.56354163463196","0.650409487467326","0.728632598224437","A","B"
"6","0","-1.25018138515867","0.757235642733321","0.599050277445859","B","A"
"7","0","0.443234176281413","0.165094127865336","1.50583560917102","B","A"
"8","0","1.3426823958553","1.04982711529747","0.533959054762012","A","A"
"9","0","1.96733771395477","0.798268931429975","1.16754205966933","B","A"
"10","0","0.376623961208139","1.78260820295717","0.20752252529422","A","B"
"11","0","1.92035471750551","1.83167646488965","0.507421219996293","A","B"
"12","0","-1.92204988715796","0.142739020393267","0.283951995469697","A","A"
"13","0","1.1838258627043","0.3477053221983","0.962818091574727","B","A"
"14","0","0.230123934886148","0.631295613957015","0.417781800786015","A","B"
"15","0","-0.419057660910919","0.220678739557705","0.670377714101742","A","B"
"16","0","-3.34020614649562","2.05394628559119","0.27793332959044","B","B"
"17","0","6.07073420677343","1.6830355919984","2.04658550968566","A","A"
"18","0","-0.929873158824443","0.23558901727154","2.34120326234546","B","A"
"19","0","-1.75022112076722","0.950561562665434","0.1641035436038","B","B"
"20","0","-2.62734926349913","0.138292850116174","1.35700441226819","B","A"
"21","0","3.23552908636218","1.71229868398032","0.635099000789734","A","A"
"22","0","-0.000942664923986092","0.315947239757708","0.45804675505447","B","A"
"23","0","0.802280616173556","0.613719815838849","0.387133887203735","A","A"
"24","0","1.09454634814453","0.477518123402785","1.0232117085304","B","A"
"25","0","-3.40352972044944","0.766347622044328","0.371848417803244","B","B"
"26","0","-5.61288226834709","1.39124459918345","0.0860098867040498","B","B"
"27","0","0.865151793393327","0.319352616232256","2.33584528562003","B","A"
"28","0","-1.27145409076603","0.575355717368842","0.151492855554628","A","B"
"29","0","-1.51542646584571","0.0213075268207722","1.8652350231834","B","A"
"30","0","2.77026090815128","0.902034697564027","1.25317630954431","B","A"
"31","0","2.56003273368235","0.876486352277419","2.07770506812445","B","A"
"32","0","-6.58291540799152","0.0191563448699703","0.579990741166848","B","B"
"33","0","-2.07905814821421","0.55845952981486","0.460988423727464","A","B"
"34","0","2.73207073515107","2.60549374865073","0.647737341005756","A","A"
"35","0","-7.83296186959825","0.122893432279655","0.0493854874555377","B","B"
"36","0","-0.157309572645013","0.156457771701027","0.890068899343229","B","A"
"37","0","-3.4305171419917","0.0858307744905348","0.884904495450729","B","B"
"38","0","3.25614342149919","1.87339501321376","2.73895845882794","A","A"
"39","0","-4.73062144562797","0.00492711858076531","1.70033000525505","B","B"
"40","0","4.42958409187833","1.27353926728429","1.55858445780807","A","A"
"41","0","1.89834567769733","0.291539004273607","1.552777897157","B","A"
"42","0","-1.28773998591558","0.326982994882424","0.354646807290209","B","B"
"43","0","-3.83474699844892","0.877840710635047","0.0553648450694044","B","B"
"44","0","-2.57150990802789","0.767285182593115","0.266766492792295","B","B"
"45","0","0.871117359492346","0.395000532375086","0.522594770024273","A","B"
"46","0","-4.01565212840142","0.0707229091292294","1.07145591992814","B","B"
"47","0","1.64548211220299","0.828608745134699","0.808518411023019","B","A"
"48","0","-2.50428264305255","0.651982139015117","0.758391765486723","B","B"
"49","0","0.641057821687294","0.963822416122046","0.240508707736779","A","B"
"50","0","0.675154636829998","2.01985505709207","0.440205719655572","A","B"
"51","0","0.0457353831595785","0.885679906341158","0.525069935134424","A","B"
"52","0","-1.25607708090097","1.17605634054805","0.266686877933257","A","B"
"53","0","-0.304897734626809","0.335708483059535","1.12292894796053","B","A"
"54","0","1.64330153639835","0.588106381965293","1.30767105638345","A","B"
"55","0","-2.15956501299799","0.184236888562925","0.520258412017439","B","B"
"56","0","2.55715489352612","0.676202574586783","0.957154770993326","B","A"
"57","0","0.879873660016507","0.556274745172258","1.35404077069039","B","A"
"58","0","-1.55207077305586","0.167767710669098","1.67801699817423","B","A"
"59","0","-2.5670713639612","0.664804330388952","0.1650593637183","B","B"
"60","0","-0.668128385053024","1.2954079430403","0.55059715612987","B","B"
"61","0","0.568708301371944","0.835548580517929","0.233246052156657","A","B"
"62","0","3.82822131972405","1.22050306934669","1.24821769828581","A","A"
"63","0","-0.282339791988263","0.400681529850313","0.538107717199413","A","A"
"64","0","0.732943281322918","0.213631373987861","1.73152801325188","B","A"
"65","0","1.47121558540406","0.833565111040637","1.13315391744963","B","A"
"66","0","0.924669291061757","0.998046377135692","0.840479177692549","B","A"
"67","0","-0.485499302951175","0.830985052238099","0.393333186189244","A","B"
"68","0","0.0110847271485366","0.853336504517357","1.17737884200743","B","B"
"69","0","4.43517955241893","0.983413048235606","1.61208840612053","A","A"
"70","0","-2.36771596981108","0.174181591022967","0.8456900234513","B","B"
"71","0","1.52551983725621","0.671278627628534","0.486414530969869","A","A"
"72","0","-0.0927122646770218","0.915268886931641","1.45535840052525","A","B"
"73","0","0.807676227405318","0.21340962386121","1.10958238456027","B","A"
"74","0","-2.41320980816519","2.01320154680227","0.274959152069927","A","B"
"75","0","-2.91800017053325","1.31887519333171","0.308333068409032","B","B"
"76","0","-1.87348844487588","0.455888321699593","0.761838060620621","B","B"
"77","0","0.863220261865068","1.18971824258942","0.233018147258876","A","B"
"78","0","1.90031946426592","0.887417902029389","1.29077351638201","B","A"
"79","0","3.01082601311928","0.969282549175069","0.552840056055513","A","A"
"80","0","3.35502208816771","0.534784112374035","2.37973531730913","A","A"
"81","0","-0.56096051947203","1.0936178018262","0.556053318713167","A","B"
"82","0","-5.97312285498733","0.0953486511530881","0.125526547631816","A","B"
"83","0","5.78592297772431","1.15915793625837","0.818668922751474","A","A"
"84","0","-0.375787513802247","0.550514078092979","1.37120663049386","B","B"
"85","0","-3.07951462466287","0.302632529865793","0.213660712449481","A","B"
"86","0","-2.22506347445386","0.237162137381737","0.973922828430043","B","B"
"87","0","-2.98743526650871","0.087220835382114","1.70327541052093","B","B"
"88","0","0.287419615369324","1.19743591450724","1.16834924207781","B","B"
"89","0","0.173163551210233","0.0791649694798077","0.947543800005299","A","A"
"90","0","-4.20760954103284","0.0514595826743618","0.150243644208454","B","A"
"91","0","-1.11006082626442","0.823885549766629","0.310404892709995","B","B"
"92","0","-5.65754421817968","0.279538159463216","0.116085674162207","B","B"
"93","0","1.09293012289119","1.89474536433455","0.669859279061609","A","B"
"94","0","1.70595185526483","0.387289989020749","1.20743606283331","A","A"
"95","0","-4.00352806517914","0.157037352404797","0.133566908942457","A","B"
"96","0","0.695053394852063","0.726243792295224","1.65241344660171","B","A"
"97","0","2.82904942132156","1.64780814008872","1.71551627440345","B","A"
"98","0","0.866908034045131","0.632253293825452","1.84215058612534","B","B"
"99","0","0.462033198686391","0.248243447468526","1.47393840622085","B","A"
"100","0","3.37248211775059","0.463437567597693","0.781201529132992","A","A"
"101","0","-1.75177451947625","0.848915855014703","0.592534659090733","B","B"
"102","0","-0.481960865488678","1.09501539679024","0.771702700577641","B","B"
"103","0","-2.82688871140576","0.545444656056917","0.0436789895779052","A","B"
